"FullPath","Extension","SizeBytes","SizeMB","LastWriteTime"
"C:\Users\29969\Desktop\社会实践\“青声传薪，数扬侨魂”华侨革命史科普实践团–三期社区宣讲问卷调查.docx",".docx","15851","0.02","2026-08-03 19:30:38"
"C:\Users\29969\Desktop\社会实践\”青声传薪，数扬侨魂“社区活动策划方案 修订版.docx",".docx","1540165","1.47","2026-08-12 17:16:34"
"C:\Users\29969\Desktop\社会实践\”青声传薪，数扬侨魂“项目申报书.docx",".docx","223164","0.21","2026-08-14 23:03:17"
"C:\Users\29969\Desktop\社会实践\附件\附件1：2026年暑期社会实践活动团队项目申报书.docx",".docx","274605","0.26","2026-06-06 10:27:57"
"C:\Users\29969\Desktop\社会实践\附件\附件2：2026年暑期社会实践活动团队成员信息汇总表.xlsx",".xlsx","12554","0.01","2026-06-06 00:08:43"
"C:\Users\29969\Desktop\社会实践\附件\附件3：2026年暑期社会实践活动实践地接收证明.docx",".docx","114720","0.11","2026-05-07 09:23:10"
"C:\Users\29969\Desktop\社会实践\附件\附件4：2026年暑期社会实践活动承诺书及知情同意书.docx",".docx","258417","0.25","2026-04-29 09:05:08"
"C:\Users\29969\Desktop\社会实践\附件\附件5：2026年暑期社会实践活动立项申报汇总表.xlsx",".xlsx","13510","0.01","2026-06-06 00:23:40"
"C:\Users\29969\Desktop\社会实践\附件\附件6：2026年暑期社会实践活动团队项目结项报告书.docx",".docx","595724","0.57","2026-05-07 11:33:20"
"C:\Users\29969\Desktop\社会实践\华侨博物院推文.docx",".docx","13452","0.01","2026-08-10 17:30:20"
"C:\Users\29969\Desktop\社会实践\上报材料\附件1：2026年暑期社会实践活动团队项目申报书(1).pdf",".pdf","4548803","4.34","2026-06-06 00:24:08"
"C:\Users\29969\Desktop\社会实践\上报材料\附件1：2026年暑期社会实践活动团队项目申报书.docx",".docx","274185","0.26","2026-06-05 13:30:17"
"C:\Users\29969\Desktop\社会实践\上报材料\附件2：2026年暑期社会实践活动团队成员信息汇总表.xlsx",".xlsx","12586","0.01","2026-06-06 11:00:12"
"C:\Users\29969\Desktop\社会实践\上报材料\附件3：2026年暑期社会实践活动实践接受地证明(1).pdf",".pdf","1139950","1.09","2026-06-06 00:24:43"
